ObjectId,ogcfid,typ_opatreni,rok_realizace,delka,datum_exportu,GlobalID,SHAPE_Length
1,639,Jízda cyklistů v protisměru (piktogram),2021,149.77,2022/12/16 00:00:00+00,{F1050389-0266-46A5-8281-AD60711AE90A},0.00202936171777727
2,297,Jízda cyklistů v protisměru (piktogram),2017,71.870003,2022/12/16 00:00:00+00,{04371385-F368-42FD-9B83-3DAD4033D0EE},0.000657163415165372
3,712,Stezka pro chodce s povoleným vjezdem cyklistů,2022,53.349998,2022/12/16 00:00:00+00,{39E0D50A-C566-4DF7-9BFA-6F603262172E},0.000485597254448435
4,641,Jízda cyklistů v protisměru (piktogram),2021,248.25,2022/12/16 00:00:00+00,{84B6FC27-C62C-4AB4-9761-2117FF06B4A0},0.00336301568417468
5,336,Piktogramový koridor pro cyklisty - V20,2015,81.139999,2022/12/16 00:00:00+00,{C5C495C3-0BB3-4AEA-BAF0-8C61C062742A},0.000821286825684179
6,693,Piktogramový koridor pro cyklisty - V20,2021,739.69,2022/12/16 00:00:00+00,{1E0CDE6A-89D0-4759-ABCE-AD655E21CF36},0.00762257852214265
7,642,Vyhrazený jízdní pruh pro cyklisty - V14,2021,292.04999,2022/12/16 00:00:00+00,{B6B5D056-F490-4F75-8851-BFC4E2A4C11D},0.0036776887111062
8,650,Piktogramový koridor pro cyklisty - V20,2020,828.57001,2022/12/16 00:00:00+00,{98818B8D-28B9-481A-99DF-72835C496BC6},0.00884903432464447
9,396,Vjezd cyklistům povolen,0,73.459999,2022/12/16 00:00:00+00,{E14A16CA-EC22-46FC-8E2C-04F2D040A945},0.00180113194924885
10,580,Piktogramový koridor pro cyklisty - V20,2019,27.73,2022/12/16 00:00:00+00,{1A2AF14F-40D9-458C-B4A7-55F44C6AFE80},0.000357087684855779
11,701,Piktogramový koridor pro cyklisty - V20,2021,260.42999,2022/12/16 00:00:00+00,{2C31002A-9F49-48A5-9077-5637FEAC186F},0.0034843200376806
12,651,Piktogramový koridor pro cyklisty - V20,2019,257.79001,2022/12/16 00:00:00+00,{35DDCD33-633F-4835-A65C-C76A355EA5D3},0.0029869470548566
13,600,Vyhrazený jízdní pruh pro cyklisty - V14,2019,745.44,2022/12/16 00:00:00+00,{5BE799BB-E74F-4F59-93F5-39B96AF58A72},0.00775582739832506
14,702,Jízda cyklistů v protisměru - E12,2022,135.60001,2022/12/16 00:00:00+00,{35122579-BF3D-4B40-9FBE-15BE9544CCDC},0.00174469001693596
15,703,Piktogramový koridor pro cyklisty - V20,2022,1200.5601,2022/12/16 00:00:00+00,{F36F6F71-5194-426F-92B5-9167B953EE4B},0.0112276287817749
16,461,Jízda cyklistů v protisměru - E12,2018,41.419998,2022/12/16 00:00:00+00,{765F25C2-66D8-49AD-B13C-9E755A99832C},0.000567293001986644
17,552,Zákaz vjezdu všech motorových vozidel - B11,1997,331,2022/12/16 00:00:00+00,{BE7363EF-B74D-4860-B6A0-A2812C8E4F19},0.00386199874579647
18,605,Stezka pro chodce a cyklisty (nedělená) - C9,2019,1460.0699,2022/12/16 00:00:00+00,{CBDB9685-4180-41FB-8373-30E7510FFAF9},0.0189669917593648
19,376,Vjezd cyklistům povolen,2015,11.68,2022/12/16 00:00:00+00,{C3864DBE-B073-477C-8551-50E29638163A},0.000232886094574788
20,316,Piktogramový koridor pro cyklisty - V20,2010,15.47,2022/12/16 00:00:00+00,{452805C0-81EA-4C27-9447-92CEDBAB5097},0.000142365979182556
21,283,Úsek byl zrušen,2014,164.50999,2022/12/16 00:00:00+00,{39758248-9D84-4FD0-B972-491F9E96DCDE},0.00221222547748965
22,640,Jízda cyklistů v protisměru (piktogram),2021,75.540001,2022/12/16 00:00:00+00,{761A8658-B614-4740-9479-770B4B337584},0.00102391040928855
23,632,Jízda cyklistů v protisměru (piktogram),2017,10.41,2022/12/16 00:00:00+00,{1C08A434-49A3-49D5-8281-5C5FBA9A0727},0.00014013314768053
24,644,Jízda cyklistů v protisměru - E12,2021,217.60001,2022/12/16 00:00:00+00,{C96F350E-D09D-4203-A3EB-D6EF820D3780},0.00273168299040974
25,711,Stezka pro chodce a cyklisty (nedělená) - C9,2022,119.76,2022/12/16 00:00:00+00,{19ABA2D7-596B-455D-A3D1-94FEA406B144},0.00136255907650183
26,511,Zákaz vjezdu všech motorových vozidel - B11,2017,3843.5901,2022/12/16 00:00:00+00,{B371D639-63CB-4A73-818E-CD9B6E8D2A08},0.0327083588465944
27,652,Piktogramový koridor pro cyklisty - V20,2019,44.610001,2022/12/16 00:00:00+00,{CCF56FBF-1480-4AAB-845B-8B2B578DF6C2},0.000608072834757457
28,553,Zákaz vjezdu všech motorových vozidel - B11,1997,488.98999,2022/12/16 00:00:00+00,{C44847EF-C634-4352-BBC6-901B9B22B512},0.00605922710592349
29,713,Stezka pro chodce a cyklisty (nedělená) - C9,2022,322.5,2022/12/16 00:00:00+00,{4240C8AD-C65B-41EE-8D4A-CED9E10D0648},0.00380017274282346
30,694,Stezka pro chodce a cyklisty (nedělená) - C9,2021,730.14001,2022/12/16 00:00:00+00,{50440CDD-0258-42D3-9162-0EF97638D510},0.00833671707450069
31,606,Zákaz vjezdu všech motorových vozidel - B11,2015,2630.1499,2022/12/16 00:00:00+00,{E96D68CD-40F0-441C-8F1F-99CF47EE95C7},0.0349188474487376
32,704,Stezka pro chodce s povoleným vjezdem cyklistů,2022,1199.96,2022/12/16 00:00:00+00,{792A6F23-E687-4E4B-8E2B-FFF038D41FDA},0.0143544170814148
33,361,Vjezd cyklistům povolen,2015,41.490002,2022/12/16 00:00:00+00,{DD43E692-D36A-4EEA-A801-930105E1A635},0.000503930233239474
34,284,Úsek byl zrušen,2014,135.22,2022/12/16 00:00:00+00,{FB4256B3-FD8C-4171-A7B7-2AAD1359102C},0.00183269580278104
35,705,Jízda cyklistů v protisměru - E12,2022,133.71001,2022/12/16 00:00:00+00,{B557B80F-8E02-4798-853D-458A38C34CBA},0.00123741511240383
36,242,Jízda cyklistů v protisměru (piktogram),2013,125.65,2022/12/16 00:00:00+00,{893E94DA-83FD-4415-8AA5-0744630FF5FF},0.00128420696642311
37,634,Piktogramový koridor pro cyklisty - V20,2017,21.32,2022/12/16 00:00:00+00,{85B7CB5C-EAF5-453F-A89D-08038D6F0E6B},0.000270869192657834
38,601,Zákaz vjezdu všech motorových vozidel - B11,2019,96.510002,2022/12/16 00:00:00+00,{B89E941B-C1BE-46D7-BF48-96EA4C81ABC8},0.00108939080141457
39,604,Jízda cyklistů v protisměru (piktogram),2019,120.57,2022/12/16 00:00:00+00,{A95C17A3-9A1E-4427-BA3E-83E47B65C494},0.00123868079039784
40,294,Jízda cyklistů v protisměru (piktogram),2017,55.939999,2022/12/16 00:00:00+00,{DB80C998-1ED5-483B-ACF7-4452519BE973},0.000702539661637152
41,223,Vjezd cyklistům povolen,2019,31.51,2022/12/16 00:00:00+00,{38C8C8BF-8548-46D9-BB2B-5A239A5A3B1E},0.000408952925888888
42,609,Vjezd cyklistům povolen,2015,41.490002,2022/12/16 00:00:00+00,{269FB6A4-E746-47E7-A5BE-0BBCD1AA7748},0.000236708740404062
43,197,Stezka pro chodce a cyklisty (nedělená) - C9,2002,252.49001,2022/12/16 00:00:00+00,{2DFBCD7A-3F09-4033-A2A1-4A7684BCEB1E},0.00249035339462528
44,354,Vjezd cyklistům povolen,2015,267.07999,2022/12/16 00:00:00+00,{F0BCB205-2332-44E4-BA83-AC8156C3124D},0.00360362323764019
45,400,Vjezd cyklistům povolen,2008,857.38,2022/12/16 00:00:00+00,{B05DC0B9-408A-4FB6-A0AA-5BED125081EB},0.00843091439947837
46,633,Jízda cyklistů v protisměru - E12,2014,29.01,2022/12/16 00:00:00+00,{10782138-E759-47C3-85C2-4D8BB8230BE7},0.000390311244686165
47,456,Přejezd pro cyklisty,0,15.9,2022/12/16 00:00:00+00,{FA588A95-7E52-4D01-8F10-DA5B179FFE01},0.000184379099783574
48,300,Jízda cyklistů v protisměru (jízdní pruh),2014,204.78999,2022/12/16 00:00:00+00,{D00B0E57-F173-434F-BC45-BE9120713D7B},0.00272602845805932
49,279,Jízda cyklistů v protisměru (piktogram),2013,379.91,2022/12/16 00:00:00+00,{8242F520-88AD-4EAB-A3A1-3F5E88DB2EFB},0.00500622251922952
50,32,Jízda cyklistů v protisměru (piktogram),2016,330.45999,2022/12/16 00:00:00+00,{A21D65DC-898D-4AB7-902E-FA16F2580CA6},0.00313826796214151
51,645,Piktogramový koridor pro cyklisty - V20,2021,126.3,2022/12/16 00:00:00+00,{0D2654DB-1C60-42C1-8B91-416472CC8716},0.00172576356686328
52,655,Piktogramový koridor pro cyklisty - V20,2019,270.79001,2022/12/16 00:00:00+00,{DFFA3344-923D-4B89-BB75-55E903383918},0.003395754292495
53,181,Stezka pro chodce s povoleným vjezdem cyklistů,2020,143.47,2022/12/16 00:00:00+00,{C8F036A7-F4D2-42A3-BB94-78FA3E7AAB73},0.00140220482358242
54,182,Stezka pro chodce s povoleným vjezdem cyklistů,2020,146.58,2022/12/16 00:00:00+00,{CD43C267-58D8-44FF-935B-2B158BAFDE05},0.00143583770587728
55,183,Stezka pro chodce s povoleným vjezdem cyklistů,2020,74.190002,2022/12/16 00:00:00+00,{EB155888-CD39-4C9F-90F0-ACCDE053AA0A},0.000725377581775413
56,184,Stezka pro chodce s povoleným vjezdem cyklistů,2020,70.239998,2022/12/16 00:00:00+00,{0A432385-6B82-4575-A3F9-BD85B3CF67D7},0.000685867278630518
57,690,Stezka pro chodce a cyklisty (dělená) - C10,2021,187.00999,2022/12/16 00:00:00+00,{6DCC820B-0175-4E89-BBFA-DE14D0B83B1A},0.00177076549472078
58,623,Vyhrazený jízdní pruh pro cyklisty - V14,2010,24.01,2022/12/16 00:00:00+00,{1D3CA119-8617-4323-99E2-EC53DDEE522D},0.000274146683070918
59,691,Vyhrazený jízdní pruh pro cyklisty - V14,2019,368.17001,2022/12/16 00:00:00+00,{653DA50C-230D-411A-8D00-3BA17E315BFA},0.00363437348138514
60,653,Vyhrazený jízdní pruh pro cyklisty - V14,2019,38.459999,2022/12/16 00:00:00+00,{EA4DAA58-C086-4409-B119-931F9A3AAFED},0.000544586220435125
61,619,Stezka pro chodce a cyklisty (nedělená) - C9,2020,23.639999,2022/12/16 00:00:00+00,{8C9794F1-A11D-48A1-AADE-F9C15CC1A70B},0.000238998083894314
62,612,Stezka pro chodce a cyklisty (nedělená) - C9,2019,75.220001,2022/12/16 00:00:00+00,{0F1DA4BE-9DA3-4198-B028-85E699B2B354},0.000687027489714888
63,614,Stezka pro chodce a cyklisty (nedělená) - C9,2019,11.3,2022/12/16 00:00:00+00,{8DA58586-EFED-4E92-80FA-8F46B332298F},0.000101819845911087
64,630,Zákaz vjezdu všech motorových vozidel - B11,2020,569.23999,2022/12/16 00:00:00+00,{58EC81E4-092F-4D96-A2B5-45496C4C8F4A},0.0075736532422973
65,248,Jízda cyklistů v protisměru (piktogram),2013,249.44,2022/12/16 00:00:00+00,{40C0262C-8DA8-40DB-8950-EAD79FD5AE23},0.00284476582862005
66,254,Jízda cyklistů v protisměru (piktogram),2014,121.45,2022/12/16 00:00:00+00,{16D47A5B-B302-4E5C-835B-BD621798E95C},0.00148455549032349
67,646,Stezka pro chodce s povoleným vjezdem cyklistů,2021,86.459999,2022/12/16 00:00:00+00,{2B8F32F3-C0E2-4046-B2ED-99C91A4710EF},0.000843082668545349
68,607,Vjezd cyklistům povolen,2019,185.97,2022/12/16 00:00:00+00,{17FDFF59-FDB5-4BDD-A82C-E29C51133F8C},0.00189162362995216
69,451,Jízda cyklistů v protisměru (piktogram),2018,97.68,2022/12/16 00:00:00+00,{97555B95-A7F4-40BC-9243-628E8FA65F1F},0.00126777170040706
70,610,Vjezd cyklistům povolen,2015,96.889999,2022/12/16 00:00:00+00,{CE7EE575-FD91-401C-B41D-491D4E1A43A5},0.000909963176451585
71,280,Jízda cyklistů v protisměru (jízdní pruh),2011,89.209999,2022/12/16 00:00:00+00,{A308C90A-B2A6-4479-BA1B-A45DB3CC7F61},0.00149869621882577
72,352,Vjezd cyklistům povolen,2015,393.67001,2022/12/16 00:00:00+00,{7F3761BA-F809-4786-8708-5A3C2C47D398},0.00467163176301708
73,105,Jízda cyklistů v protisměru (piktogram),2015,152.58,2022/12/16 00:00:00+00,{3EB7C10B-510B-48E2-AE1B-2F8EC1D8395F},0.00202705052045392
74,243,Jízda cyklistů v protisměru (piktogram),2013,125.68,2022/12/16 00:00:00+00,{B3017222-51EA-497C-9646-0953F49FB42B},0.00134376460086375
75,656,Piktogramový koridor pro cyklisty - V20,2019,59.07,2022/12/16 00:00:00+00,{E42ABDFD-1FA0-4397-9068-1F58D490D664},0.000799696398857675
76,611,Piktogramový koridor pro cyklisty - V20,2020,901.39001,2022/12/16 00:00:00+00,{8D4A7BA6-3A0D-4317-B219-2C6887740BB0},0.0088057651351187
77,654,Vyhrazený jízdní pruh pro cyklisty - V14,2019,215.28,2022/12/16 00:00:00+00,{82D9A444-6448-4519-AA86-191F85F6C34E},0.00244359427492235
78,695,Piktogramový koridor pro cyklisty - V20,2021,325.23001,2022/12/16 00:00:00+00,{EBD710DC-EEC3-4915-BE56-73C3FD90D0C4},0.00444086361540042
79,706,Ochranný jízdní pruh pro cyklisty,2022,764.33002,2022/12/16 00:00:00+00,{46D766F2-2DA9-4283-B04E-709B9BBD2C6E},0.0072636749920042
80,615,Stezka pro cyklisty - C8,2019,67.459999,2022/12/16 00:00:00+00,{69B5A47B-5120-4ED4-A7DE-400BABCB5978},0.000839491956208385
81,613,Stezka pro chodce a cyklisty (nedělená) - C9,2019,26.68,2022/12/16 00:00:00+00,{8B797AB5-EB10-4DCA-9314-A74AB7AC672D},0.000271782046840032
82,239,Jízda cyklistů v protisměru - E12,2013,264.70999,2022/12/16 00:00:00+00,{A6F16CEE-6852-4A06-A409-618C9EB2E1DD},0.000799448605688834
83,285,Jízda cyklistů v protisměru (piktogram),2013,332.72,2022/12/16 00:00:00+00,{EB8C181B-C82A-40D8-9FE7-5FDE1DF55CD3},0.00356179609070881
84,696,Vyhrazený jízdní pruh pro cyklisty - V14,2021,496.98999,2022/12/16 00:00:00+00,{57EE8BA5-83C4-4D0F-8893-533FD74D8F25},0.0060132796360498
85,244,Jízda cyklistů v protisměru (jízdní pruh),2015,159.03999,2022/12/16 00:00:00+00,{8A61E9BB-3F76-4190-B54E-4A17B2D7E84D},0.00215224848274148
86,272,Jízda cyklistů v protisměru (piktogram),2012,89.449997,2022/12/16 00:00:00+00,{3F184779-8166-49E8-B26B-0413E9462616},0.00114960618350357
87,353,Vjezd cyklistům povolen,2015,79.269997,2022/12/16 00:00:00+00,{309B0D58-90A1-46DA-91FF-5AB0B9C88259},0.00101602889504224
88,250,Jízda cyklistů v protisměru (piktogram),2017,472.32999,2022/12/16 00:00:00+00,{1B99D8AE-B698-4A4E-82BD-85068F30145A},0.00521628941670065
89,291,Úsek byl zrušen,2015,189.98,2022/12/16 00:00:00+00,{F14AD16E-C678-4AA2-8DE3-6DD887EFC78A},0.0018932939627315
90,75,Jízda cyklistů v protisměru (jízdní pruh),2013,43,2022/12/16 00:00:00+00,{43B29506-77C8-4C32-8971-A60B6CE63AD0},0.000584260409493153
91,377,Vjezd cyklistům zakázán,2015,141.45,2022/12/16 00:00:00+00,{F46E9439-C072-4475-A097-231A69813291},0.00158799027089796
92,616,Stezka pro chodce a cyklisty (nedělená) - C9,2019,27.719999,2022/12/16 00:00:00+00,{EDB8A214-7E4E-40E0-9AEB-14E39AFE7E74},0.000370974822344054
93,692,Jízda cyklistů v protisměru - E12,2021,90.940002,2022/12/16 00:00:00+00,{E193D121-C4E3-4AFB-A41C-4453EF8CEA3C},0.00115450694020355
94,635,Jízda cyklistů v protisměru (piktogram),2020,133.28,2022/12/16 00:00:00+00,{96D1E960-EFE0-4BE3-89D2-9C3D97A9C3E0},0.00120685576777213
95,707,Stezka pro chodce a cyklisty (nedělená) - C9,2022,59.549999,2022/12/16 00:00:00+00,{8EFA68AC-C38F-467D-9D8A-C1D22DC5AF57},0.000537580327314451
96,287,Jízda cyklistů v protisměru (jízdní pruh),2013,44.400002,2022/12/16 00:00:00+00,{74F40C7B-979D-4FBC-89E8-166F2385E720},0.000548267608640548
97,71,Jízda cyklistů v protisměru (piktogram),2014,162.53999,2022/12/16 00:00:00+00,{AAA6B90F-9A99-4DAB-A551-08929886A8B7},0.00222107863841877
98,114,Jízda cyklistů v protisměru (jízdní pruh),2010,189.17999,2022/12/16 00:00:00+00,{B10B06EE-ADBE-47A7-9F64-2847F179DB33},0.00253949055054473
99,631,Piktogramový koridor pro cyklisty - V20,2013,15.05,2022/12/16 00:00:00+00,{7C3FCCB4-8696-4811-8FC7-60B8678B4C2D},0.000158072442250293
100,638,Stezka pro chodce a cyklisty (nedělená) - C9,2000,146.13,2022/12/16 00:00:00+00,{8ADA8ACA-4C88-4A64-A3BD-30E7A97499A1},0.00136982890134622
101,647,Stezka pro chodce s povoleným vjezdem cyklistů,2021,105.9,2022/12/16 00:00:00+00,{FB90F1F6-8D0A-473D-B44B-A7543AE18CCC},0.00103547399880749
102,708,Vyhrazený jízdní pruh pro cyklisty - V14,2022,832.88,2022/12/16 00:00:00+00,{D03398FE-793E-4268-9FE0-7EB41EC1C303},0.0112901903491026
103,709,Jízda cyklistů v protisměru - E12,2022,185.00999,2022/12/16 00:00:00+00,{444102CB-F8EA-4FB1-9B0A-A7799F7DE464},0.00174853658326346
104,710,Jízda cyklistů v protisměru (piktogram),2022,55.470001,2022/12/16 00:00:00+00,{371CEE03-B51F-4B57-841F-8FB129AE27DD},0.000527385316828369
105,657,Piktogramový koridor pro cyklisty - V20,2019,,2022/12/16 00:00:00+00,{D98D1779-429F-4D6D-93D5-CC612E7BBB19},0.00365035477044972
106,637,Stezka pro chodce s povoleným vjezdem cyklistů,2020,649.01001,2022/12/16 00:00:00+00,{BC093C10-A48D-4933-B30D-CAACFE518DBE},0.00818385744269629
107,315,Přejezd pro cyklisty,0,8.3400002,2022/12/16 00:00:00+00,{A36A6CC9-68CE-40A3-9F5C-E6CB3B6567A4},0.000107643985905194
108,384,Jízda cyklistů v protisměru (piktogram),2018,140.57001,2022/12/16 00:00:00+00,{4EC2FEBD-BE2F-4A99-B71F-8CCA95D85FB2},0.00159687575664546
109,648,Piktogramový koridor pro cyklisty - V20,2021,209.53999,2022/12/16 00:00:00+00,{A5BC9F99-4FED-43FB-8B79-5C50C641E567},0.00201283526696902
110,697,Vyhrazený jízdní pruh pro cyklisty - V14,2021,347.60001,2022/12/16 00:00:00+00,{D3FA2BB3-EAD4-47C5-8AFF-6582A79BCBDA},0.00428568518175954
111,292,Úsek byl zrušen,2015,184.98,2022/12/16 00:00:00+00,{9E92DC61-A320-450E-969F-04FD7C497B43},0.00184696234550646
112,380,Vjezd cyklistům zakázán,2015,43.540001,2022/12/16 00:00:00+00,{6B5A757D-2994-4626-A1FB-5ABD58E41068},0.00056123746019789
113,293,Jízda cyklistů v protisměru (piktogram),2015,159.49001,2022/12/16 00:00:00+00,{393016C4-5217-43E6-9CF2-409E86C36D8E},0.00180779810343722
114,314,Přejezd pro cyklisty,0,10.46,2022/12/16 00:00:00+00,{2A628670-9976-441C-B959-1FEEA5166E07},0.00011382063115068
115,597,Piktogramový koridor pro cyklisty - V20,2019,413.54001,2022/12/16 00:00:00+00,{80A79BC9-D39D-4202-A4A8-2B49359070AE},0.00504097071382685
116,68,Jízda cyklistů v protisměru (piktogram),2016,301.5,2022/12/16 00:00:00+00,{5D081691-D864-4AF0-B8CE-D4CEF4248BB1},0.00403303250325255
117,649,Piktogramový koridor pro cyklisty - V20,2021,405.23001,2022/12/16 00:00:00+00,{E2B6099C-2C1A-4B73-83BD-C1301454865A},0.00395138079129213
118,608,Vjezd cyklistům povolen,2019,114.41,2022/12/16 00:00:00+00,{28C67FE1-056A-4A26-898E-AC21BEB08990},0.00108367070730602
119,698,Piktogramový koridor pro cyklisty - V20,2021,394.10001,2022/12/16 00:00:00+00,{4C5A04F0-E409-494C-8E6E-19ED3B713EB1},0.00537670896672706
120,97,Jízda cyklistů v protisměru (piktogram),2013,143.03,2022/12/16 00:00:00+00,{F9BF30C0-CD9A-4105-BD70-63CC55070D3C},0.00145452818768632
121,699,Piktogramový koridor pro cyklisty - V20,2021,492.76001,2022/12/16 00:00:00+00,{9C6403DD-B9AB-4AE3-946D-9CF4A1AA3FFF},0.00472566528224609
122,74,Jízda cyklistů v protisměru (piktogram),2013,50.869999,2022/12/16 00:00:00+00,{6119E4FD-2068-4B71-AB17-698A20E78530},0.000696400284227319
123,700,Piktogramový koridor pro cyklisty - V20,2021,62.459999,2022/12/16 00:00:00+00,{2EEB6198-7BFA-4EAA-9973-F9796CDB2E59},0.000668238954153125
124,447,Jízda cyklistů v protisměru (piktogram),2018,162.42999,2022/12/16 00:00:00+00,{B4F5EEDA-F725-4DF8-AD7B-AC4F79AEA74B},0.001972284529044
125,101,Jízda cyklistů v protisměru (piktogram),2013,240.35001,2022/12/16 00:00:00+00,{9697C51F-B9BF-41C9-804E-8137F59C19EB},0.00312585468686693
126,42,Jízda cyklistů v protisměru (piktogram),2014,73.029999,2022/12/16 00:00:00+00,{0D4736F9-87A3-45CB-92B3-7C3D4B8954DC},0.000765270696036467
127,313,Přejezd pro cyklisty,0,13.03,2022/12/16 00:00:00+00,{A71054B1-7AE6-407E-BA67-4CB5C706580F},0.000117221994216856
128,43,Jízda cyklistů v protisměru (piktogram),2014,72.32,2022/12/16 00:00:00+00,{6BBFE010-0D01-4388-8FBD-045E950558FE},0.000755381962482041
129,41,Jízda cyklistů v protisměru (piktogram),2014,72.599998,2022/12/16 00:00:00+00,{9D41E21C-CE12-49F8-B521-03E5902E3861},0.000755399307246135
130,47,Jízda cyklistů v protisměru (piktogram),2014,72.660004,2022/12/16 00:00:00+00,{78A7FB3B-5192-41AF-9C02-90432A43C3CB},0.00075833825066299
131,516,Zákaz vjezdu všech motorových vozidel - B11,2000,59.029999,2022/12/16 00:00:00+00,{333C1FA1-BB84-46B5-837E-0215F9A12CD8},0.000696633942618853
132,46,Jízda cyklistů v protisměru (piktogram),2014,72.190002,2022/12/16 00:00:00+00,{C892DE62-D4C6-49F2-B030-DFA90417CF2B},0.000754196463400875
133,45,Jízda cyklistů v protisměru (piktogram),2014,72.989998,2022/12/16 00:00:00+00,{3E62A7C9-0C87-4310-840E-167A6F91ED8E},0.000762991994822112
134,490,Zákaz vjezdu všech motorových vozidel - B11,0,664.84003,2022/12/16 00:00:00+00,{6F60E31C-A998-406F-AA2B-691FD90DF869},0.00711896707605654
135,463,Zákaz vjezdu všech motorových vozidel - B11,2003,151.00999,2022/12/16 00:00:00+00,{CD00013D-D9DF-4249-9508-0D919204BD4B},0.00207284766501214
136,586,Vjezd cyklistům povolen,2019,63.759998,2022/12/16 00:00:00+00,{6D28A2A8-59DF-4826-BDD6-475C4F4F3D27},0.000822330351496702
137,584,Vyhrazený jízdní pruh pro cyklisty - V14,2013,85.32,2022/12/16 00:00:00+00,{24ADCCEE-46BB-4EC5-9F05-4A89F8AA59A8},0.00093625441001992
138,587,Přejezd pro cyklisty,0,10.93,2022/12/16 00:00:00+00,{C11B203A-113C-40C9-AA9F-2B1CC4FEF6EA},0.0001063834705761
139,464,Zákaz vjezdu všech motorových vozidel - B11,1999,70.800003,2022/12/16 00:00:00+00,{0F413057-6D29-4362-87C8-F25583518A4D},0.000819662109455327
140,465,Zákaz vjezdu všech motorových vozidel - B11,2002,65.68,2022/12/16 00:00:00+00,{C95F6F92-290A-49C0-A20A-D6CDE97C6441},0.000803184762818405
141,470,Zákaz vjezdu všech motorových vozidel - B11,1999,150.75999,2022/12/16 00:00:00+00,{CD53F19C-EFBE-4EBE-A989-4082B6F186E6},0.00206012800787716
142,471,Zákaz vjezdu všech motorových vozidel - B11,1999,401.82999,2022/12/16 00:00:00+00,{EE033360-E81A-4A55-98D6-B24DA6D2C340},0.0043582910125429
143,517,Zákaz vjezdu všech motorových vozidel - B11,2011,55.169998,2022/12/16 00:00:00+00,{CFAB055A-CF41-4608-88D8-1C59B3B8D5B2},0.000496790084049254
144,585,Vyhrazený jízdní pruh pro cyklisty - V14,2013,82.720001,2022/12/16 00:00:00+00,{0C31EBBB-B780-4CA9-BF5D-9903AA8391AF},0.000907847425972495
145,588,Přejezd pro cyklisty,0,5.5799999,2022/12/16 00:00:00+00,{BC317CA5-92D0-4E55-B615-2C9BCAF628C4},5.64324818093176e-05
146,480,Zákaz vjezdu všech motorových vozidel - B11,2002,289.87,2022/12/16 00:00:00+00,{3C90B5E2-7A67-4E6A-9C02-C704ECEE636B},0.00301691160505678
147,481,Zákaz vjezdu všech motorových vozidel - B11,2002,269.13,2022/12/16 00:00:00+00,{CE13445D-DF89-4B9A-AA86-5E2E9A24A3E8},0.00319543700178188
148,483,Zákaz vjezdu všech motorových vozidel - B11,1999,9.3100004,2022/12/16 00:00:00+00,{D08D701B-E542-4853-9A8E-23D9E2C198EC},0.000121792850032383
